town_code,town_name,population,size,region,coastal,work_town_code,work_town_name,work_town_size,job_density,income,university,perc_age_35_to_64_l4,pop_in_ks4,perc_age_18_l2,perc_age_18_l3,perc_age_19_full_time_higher_ed,perc_age_19_sustained_further_ed,perc_age_19_apprenticeships,perc_age_19_sustained_emp_over_0,perc_age_19_sustained_emp_over_10000,perc_age_22_l1_to_l2,perc_age_22_l3_to_l5,perc_age_22_l6_to_l8,avg_level_age_22,education_score
E34003769,Alton (East Hampshire) BUA,18261,Small Towns,South East,Non-coastal,E30000164,Basingstoke,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,207,90.33816425,54.10628019,33.81642512,7.729468599,NA,51.69082126,26.57004831,18.2,52.2,28.7,3.608695652,1.06965726
E34003774,Radlett BUA,8163,Small Towns,East of England,Non-coastal,E30000234,London,Majority conurbation,Mixed,Lower deprivation towns,No university,High,63,93.65079365,73.01587302,71.42857143,NA,NA,42.85714286,NA,NA,27.9,57.4,4.53968254,7.946548037
E34003793,Withernsea BUA,6159,Small Towns,Yorkshire and The Humber,Coastal,E30000220,Hull,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,68,72.05882353,27.94117647,22.05882353,17.64705882,NA,38.23529412,NA,35.8,47.8,NA,3,-7.568628303
E34003804,Neston BUA,15064,Small Towns,North West,Non-coastal,E30000168,Birkenhead,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,181,82.32044199,54.14364641,41.43646409,23.75690608,14.91712707,44.19889503,14.91712707,23.2,42,33.1,3.762430939,2.282558794
E34003809,Middlewich BUA,13595,Small Towns,North West,Non-coastal,E30000197,Crewe,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,138,89.85507246,58.69565217,36.23188406,28.98550725,21.01449275,55.79710145,28.26086957,18.6,48.6,32.1,3.724637681,3.230994333
E34003851,Edenbridge BUA,8172,Small Towns,South East,Non-coastal,E30000281,Tunbridge Wells,Majority town and city (small),Mixed,Mid deprivation towns,No university,Medium,86,81.39534884,45.34883721,29.06976744,25.58139535,16.27906977,52.3255814,29.06976744,42.4,34.1,NA,3.26744186,-2.828181774
E34003862,Maryport BUA,9555,Small Towns,North West,Coastal,E30000290,Workington,Majority rural,Residential,Higher deprivation towns,No university,Low,115,76.52173913,24.34782609,8.695652174,33.91304348,24.34782609,53.91304348,32.17391304,39.3,46.2,NA,2.886956522,-6.375848442
E34003864,Wymondham (South Norfolk) BUA,13587,Small Towns,East of England,Non-coastal,E30000248,Norwich,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,173,86.12716763,60.11560694,46.24277457,13.87283237,8.092485549,49.71098266,24.27745665,22.8,39.2,38,3.884393064,4.512009379
E34003866,Creswell BUA,5417,Small Towns,East Midlands,Non-coastal,E30000291,Worksop and Retford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,62,75.80645161,32.25806452,16.12903226,20.96774194,NA,50,29.03225806,38.3,40,NA,3.016129032,-6.492351722
E34003892,Saltash BUA,15566,Small Towns,South West,Coastal,E30000253,Plymouth,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,186,88.17204301,54.83870968,43.01075269,24.7311828,17.20430108,47.84946237,18.27956989,18.2,44.9,34.8,3.795698925,2.222929796
E34003904,Potters Bar BUA,22639,Medium Towns,East of England,Non-coastal,E30000234,London,Majority conurbation,Working,Lower deprivation towns,No university,Medium,254,87.00787402,61.81102362,43.30708661,16.14173228,9.842519685,51.57480315,24.01574803,19.7,42.1,37.4,3.866141732,3.321137101
E34003922,Pembury BUA,6128,Small Towns,South East,Non-coastal,E30000281,Tunbridge Wells,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,75,86.66666667,64,40,14.66666667,NA,57.33333333,30.66666667,20,46.7,33.3,3.773333333,2.892892434
